date,value
2023-02-23,177417.78362732404
2023-02-24,175513.23284607404
2023-02-27,172323.11565857404
2023-02-28,171545.43987732404
2023-03-01,168791.76800232404
2023-03-02,169410.77190857404
2023-03-03,169966.26018982404
2023-03-06,174433.99456482404
2023-03-08,176227.43206482404
2023-03-09,172537.39300232404
2023-03-10,170259.85393982404
2023-03-13,166530.12737732404
2023-03-14,166101.61175232404
2023-03-15,163998.70159607404
2023-03-16,167307.82268982404
2023-03-17,166236.51409607404
2023-03-20,165427.08050232404
2023-03-21,167379.26800232404
2023-03-22,167498.29143982404
2023-03-23,166339.69768982404
2023-03-24,165466.76800232404
2023-03-27,166204.77581482404
2023-03-28,164244.69768982404
2023-03-29,171370.83050232404
2023-03-31,171053.42815857404
2023-04-03,172251.68987732404
2023-04-05,173076.98284607404
2023-04-06,174465.71331482404
2023-04-10,175886.20159607404
2023-04-11,179250.86956482404
2023-04-12,180338.03753357404
2023-04-13,184662.93987732404
2023-04-17,185726.31878357404
2023-04-18,181806.14300232404
2023-04-19,185805.69378357404
2023-04-20,179108.03753357404
2023-04-21,173553.13518982404
2023-04-24,174957.74456482404
2023-04-25,176497.23675232404
2023-04-26,178719.20940857404
2023-04-27,179830.18597107404
2023-04-28,180758.64300232404
2023-05-02,183869.40472107404
2023-05-03,183758.29143982404
2023-05-04,185631.12347107404
2023-05-05,192915.96722107404
2023-05-08,195272.86175232404
2023-05-09,195296.65081482404
2023-05-10,197058.36956482404
2023-05-11,196859.97112732404
2023-05-12,196486.98284607404
2023-05-15,196018.77972107404
2023-05-16,197542.41253357404
2023-05-17,198796.26018982404
2023-05-18,196978.99456482404
2023-05-19,196915.51800232404
2023-05-22,196764.71722107404
2023-05-23,200248.44768982404
2023-05-24,202113.31097107404
2023-05-25,203732.17815857404
2023-05-26,205335.14690857404
2023-05-29,206382.66643982404
2023-05-30,203668.68206482404
2023-05-31,206858.81878357404
2023-06-01,201986.33831482404
2023-06-02,207295.26409607404
2023-06-05,205573.23284607404
2023-06-06,211493.19378357404
2023-06-07,213953.21331482404
2023-06-08,210556.78753357404
2023-06-09,212128.03753357404
2023-06-12,212699.40472107404
2023-06-13,213731.02581482404
2023-06-14,213691.33831482404
2023-06-15,211628.07659607404
2023-06-16,214802.31487732404
2023-06-19,212437.51018982404
2023-06-20,213365.98675232404
2023-06-21,214492.84222107404
2023-06-22,210564.71722107404
2023-06-23,206612.80315857404
2023-06-26,204882.82268982404
2023-06-27,207081.00628357404
2023-06-28,211183.70159607404
2023-06-30,210485.38128357404
2023-07-03,209326.76800232404
2023-07-04,207009.58050232404
2023-07-05,209556.90472107404
2023-07-06,208707.78362732404
2023-07-07,209906.06487732404
2023-07-10,207882.49065857404
2023-07-11,213223.13518982404
2023-07-12,212548.62347107404
2023-07-13,211136.08440857404
2023-07-14,214469.03362732404
2023-07-17,213231.06487732404
2023-07-18,213738.95550232404
2023-07-19,211826.47503357404
2023-07-20,213580.24456482404
2023-07-21,213231.06487732404
2023-07-24,207541.26018982404
2023-07-25,219746.20159607404
2023-07-26,217849.60003357404
2023-07-27,215270.53753357404
2023-07-28,215595.88909607404
2023-07-31,218587.60784607404
2023-08-01,217476.59222107404
2023-08-02,219071.67034607404
2023-08-03,216452.93987732404
2023-08-04,215746.67034607404
2023-08-07,212810.49847107404
2023-08-08,211421.76800232404
2023-08-09,212762.88128357404
2023-08-10,214286.51409607404
2023-08-11,214294.44378357404
2023-08-14,213540.57659607404
2023-08-16,212723.21331482404
2023-08-17,212231.20159607404
2023-08-18,212985.06878357404
2023-08-21,214270.63518982404
2023-08-22,214913.42815857404
2023-08-23,215191.18206482404
2023-08-24,216333.89690857404
2023-08-25,212699.40472107404
2023-08-28,214230.96722107404
2023-08-29,219206.57268982404
2023-08-30,224753.54534607404
2023-08-31,225443.95550232404
2023-09-01,230871.88518982404
2023-09-04,230673.50628357404
2023-09-05,231474.99065857404
2023-09-06,234673.03753357404
2023-09-07,234950.79143982404
2023-09-08,235069.81487732404
2023-09-11,236410.92815857404
2023-09-12,233665.20550232404
2023-09-13,230919.50237732404
2023-09-14,232435.18597107404
2023-09-15,238617.02190857404
2023-09-18,242275.32268982404
2023-09-20,240077.17815857404
2023-09-21,237982.17815857404
2023-09-22,237220.36175232404
2023-09-25,240624.73675232404
2023-09-26,243076.82659607404
2023-09-27,242640.38128357404
2023-09-28,241949.97112732404
2023-09-29,241616.68987732404
2023-10-03,242918.11565857404
2023-10-04,237529.85393982404
2023-10-05,237863.15472107404
2023-10-06,238355.16643982404
2023-10-09,241727.78362732404
2023-10-10,242616.55315857404
2023-10-11,246132.02190857404
2023-10-12,253686.68987732404
2023-10-13,254170.79143982404
2023-10-16,254297.74456482404
2023-10-17,255519.83440857404
2023-10-18,254123.15472107404
2023-10-19,253877.15862732404
2023-10-20,253464.50237732404
2023-10-23,251686.94378357404
2023-10-25,250036.33831482404
2023-10-26,250377.56878357404
2023-10-27,252734.44378357404
2023-10-30,255424.61956482404
2023-10-31,252567.80315857404
2023-11-01,247814.36565857404
2023-11-02,249274.52190857404
2023-11-03,253885.08831482404
2023-11-06,256448.29143982404
2023-11-07,255694.40472107404
2023-11-08,261479.44378357404
2023-11-09,261471.53362732404
2023-11-10,259098.76018982404
2023-11-13,261654.05315857404
2023-11-15,265637.70550232404
2023-11-16,267383.52581482404
2023-11-17,277453.77972107404
2023-11-20,272954.32659607404
2023-11-21,273811.37737732404
2023-11-22,276136.49456482404
2023-11-23,281969.15081482404
2023-11-24,285762.33440857404
2023-11-28,289595.24456482404
2023-11-29,295872.29534607404
2023-11-30,296007.19768982404
2023-12-01,303196.84612732404
2023-12-04,302268.36956482404
2023-12-05,302117.60784607404
